category,item_id,param_name,param_value,mean_auc,train_time,n_targets
high_volume_consumables,562,learning_rate,0.2,0.5853867296812697,35.332667112350464,36
high_volume_consumables,2,l2_leaf_reg,1.0,0.7432445004357748,39.410712003707886,36
high_volume_consumables,2,l2_leaf_reg,3.0,0.731851163727043,40.27712297439575,36
high_volume_consumables,2,l2_leaf_reg,5.0,0.7326827582743013,40.111342430114746,36
high_volume_consumables,2,l2_leaf_reg,10.0,0.7230972430760134,40.38748335838318,36
high_volume_consumables,561,l2_leaf_reg,1.0,0.7969363599507171,49.71246671676636,36
high_volume_consumables,561,l2_leaf_reg,3.0,0.7928083935806136,54.92241930961609,36
high_volume_consumables,561,l2_leaf_reg,5.0,0.7915573375775516,51.46747016906738,36
high_volume_consumables,561,l2_leaf_reg,10.0,0.7875926386821758,53.79672718048096,36
high_volume_consumables,560,l2_leaf_reg,1.0,0.5735978033430379,37.077532052993774,36
high_volume_consumables,560,l2_leaf_reg,3.0,0.560010184425654,37.66296100616455,36
high_volume_consumables,560,l2_leaf_reg,5.0,0.5459136302828036,36.29675531387329,36
high_volume_consumables,560,l2_leaf_reg,10.0,0.537578305435133,36.98772859573364,36
high_volume_consumables,562,l2_leaf_reg,1.0,0.5889404168446254,39.1513249874115,36
high_volume_consumables,562,l2_leaf_reg,3.0,0.5918805732630322,40.48116660118103,36
high_volume_consumables,562,l2_leaf_reg,5.0,0.5657652857355736,39.45968985557556,36
high_volume_consumables,562,l2_leaf_reg,10.0,0.5629581901517949,39.69951915740967,36
mid_volume_resources,1515,depth,3.0,0.5528180416077091,31.517016887664795,36
mid_volume_resources,1515,depth,4.0,0.5402104431731055,36.40602707862854,36
mid_volume_resources,1515,depth,5.0,0.5588555155232121,44.28763699531555,36
mid_volume_resources,1515,depth,6.0,0.5214277248710751,71.92138028144836,36
mid_volume_resources,1515,depth,7.0,0.5442351750091785,110.57177829742432,36
mid_volume_resources,1515,depth,8.0,0.5596988777777513,210.5736334323883,36
mid_volume_resources,453,depth,3.0,0.5439170603169433,25.907597064971924,36
mid_volume_resources,453,depth,4.0,0.5458921768776697,29.249755382537842,36
mid_volume_resources,453,depth,5.0,0.5830656236166578,36.93053197860718,36
mid_volume_resources,453,depth,6.0,0.5599900405479183,52.718931674957275,36
mid_volume_resources,453,depth,7.0,0.5690424030715712,83.19962739944458,36
mid_volume_resources,453,depth,8.0,0.5511199318988341,131.99609684944153,36
mid_volume_resources,1515,learning_rate,0.05,0.5319836450567614,42.82285809516907,36
mid_volume_resources,1515,learning_rate,0.1,0.5402104431731055,36.26052165031433,36
mid_volume_resources,1515,learning_rate,0.15,0.5646887404001931,33.3715283870697,36
mid_volume_resources,1515,learning_rate,0.2,0.5497886278682595,31.78129744529724,36
mid_volume_resources,453,learning_rate,0.05,0.5474905326046087,31.497276544570923,36
mid_volume_resources,453,learning_rate,0.1,0.5458921768776697,29.493436098098755,36
mid_volume_resources,453,learning_rate,0.15,0.5604722880788366,28.651902437210083,36
mid_volume_resources,453,learning_rate,0.2,0.5559898474907586,28.940560579299927,36
mid_volume_resources,1515,l2_leaf_reg,1.0,0.5317352736624262,33.65467929840088,36
mid_volume_resources,1515,l2_leaf_reg,3.0,0.5402104431731055,36.406328201293945,36
mid_volume_resources,1515,l2_leaf_reg,5.0,0.5388364477818124,35.878299951553345,36
mid_volume_resources,1515,l2_leaf_reg,10.0,0.5626154112453098,36.17215347290039,36
mid_volume_resources,453,l2_leaf_reg,1.0,0.5650040886856196,29.898600578308105,36
mid_volume_resources,453,l2_leaf_reg,3.0,0.5458921768776697,29.451871156692505,36
mid_volume_resources,453,l2_leaf_reg,5.0,0.5351681374636691,29.72233772277832,36
mid_volume_resources,453,l2_leaf_reg,10.0,0.542725121106245,29.762120485305786,36
equipment_common,1201,depth,3.0,,39.555235624313354,36
equipment_common,1201,depth,4.0,,44.363150119781494,36
equipment_common,1201,depth,5.0,,62.14692306518555,36
equipment_common,1201,depth,6.0,,92.32484221458435,36
equipment_common,1201,depth,7.0,,152.0325264930725,36
equipment_common,1201,depth,8.0,,270.2330310344696,36
equipment_common,1201,learning_rate,0.05,,48.69136953353882,36
equipment_common,1201,learning_rate,0.1,,44.14181661605835,36
equipment_common,1201,learning_rate,0.15,,45.45186519622803,36
equipment_common,1201,learning_rate,0.2,,46.887059688568115,36
equipment_common,1201,l2_leaf_reg,1.0,,40.01584506034851,36
equipment_common,1201,l2_leaf_reg,3.0,,44.39012908935547,36
equipment_common,1201,l2_leaf_reg,5.0,,46.87890100479126,36
equipment_common,1201,l2_leaf_reg,10.0,,47.28733491897583,36
potions_food,3024,depth,3.0,,24.68668508529663,36
potions_food,3024,depth,4.0,,27.83359122276306,36
potions_food,3024,depth,5.0,,34.917182207107544,36
potions_food,3024,depth,6.0,,48.173107624053955,36
potions_food,3024,depth,7.0,,73.16248369216919,36
potions_food,3024,depth,8.0,,121.14490032196045,36
potions_food,2434,depth,3.0,0.6613198487708977,30.174965858459473,36
potions_food,2434,depth,4.0,0.6762054877685798,37.509748220443726,36
potions_food,2434,depth,5.0,0.6830025274242832,48.73273730278015,36
potions_food,2434,depth,6.0,0.6907664163427905,67.66639685630798,36
potions_food,2434,depth,7.0,0.6775271595863103,128.1193835735321,36
potions_food,2434,depth,8.0,0.6760736482669033,185.37708067893982,36
potions_food,3024,learning_rate,0.05,,29.276895999908447,36
potions_food,3024,learning_rate,0.1,,27.841354846954346,36
